sku_id,tier,shop,trust,title,variant,price_usd,in_stock,landed_eur_est_8box_bundle,market_ask_us,market_sold_us,market_sold_source,market_sold_checked_at,buy_below,watch_below,eu_ref_eur,status,restock,url,seen_at,match_score
PANINI_2023-24_SELECT_MEGA,retail,worldchampion,watch,2023-24 Panini Select Basketball Mega Box,,75.0,0,90.37,75.0,60.0,ebay_sold,2026-08-17,90.0,100.0,134.0,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-select-basketball-mega-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_SELECT_MEGA,retail,ballgame,watch,2023/24 Panini Select Basketball Mega Box (Blue/Pink Cracked Ice!),,80.0,0,95.54,75.0,60.0,ebay_sold,2026-08-17,90.0,100.0,134.0,,0,https://theballgame.com/products/2023-24-panini-select-basketball-mega-box-blue-pink-cracked-ice,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_SELECT_MEGA,retail,bleecker,watch,2023-24 Select Basketball Mega Box,,90.0,0,105.88,75.0,60.0,ebay_sold,2026-08-17,90.0,100.0,134.0,,0,https://bleeckertrading.com/products/2023-24-select-basketball-sealed-mega-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_SELECT_MEGA,retail,awesome,trusted,2023-24 Panini Select Basketball Mega Box (Green Shock Prizms ),,109.75,0,126.31,75.0,60.0,ebay_sold,2026-08-17,90.0,100.0,134.0,,0,https://theawesomecardshop.com/products/2023-24-panini-select-basketball-mega-box-green-shock-prizm,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,rbicru7,trusted,"2023-24 Panini Mosaic Basketball Blaster, Box",,50.0,1,64.51,,,,,40.0,50.0,,WATCH,0,https://rbicru7.com/products/2023-24-panini-mosaic-basketball-blaster-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,superior,watch,2023-24 Panini Mosaic Basketball 6-Pack Blaster Box,,105.0,1,121.4,,,,,40.0,50.0,,,0,https://superiorsportsinvestments.com/products/2023-24-panini-mosaic-basketball-6-pack-blaster-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,hiddengems,trusted,2023-24 Panini NBA Mosaic Blaster Box,,19.99,0,33.47,,,,,40.0,50.0,,,0,https://www.hiddengemscardshop.com/products/2023-24-panini-nba-mosaic-blaster-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,awesome,trusted,2023-24 Panini Mosaic Basketball Blaster Box,,34.0,0,47.96,,,,,40.0,50.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-mosaic-basketball-blaster-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,columbia,trusted,2023/24 Panini Mosaic Basketball 6-Pack Blaster Box,,39.95,0,54.11,,,,,40.0,50.0,,,0,https://columbiasportscard.com/products/2023-24-panini-mosaic-basketball-6-pack-blaster-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,monmouth,watch,2023-24 Panini Mosaic Basketball Blaster Box,,39.99,0,54.15,,,,,40.0,50.0,,,0,https://monmouthcards.com/products/2024-panini-mosaic-basketball-blaster,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,ehcards,trusted,2023/24 Panini Mosaic Basketball 6-pack Blaster Box,,49.99,0,64.5,,,,,40.0,50.0,,,0,https://ehcards.com/products/2023-24-panini-nba-mosaic-basketball-6-pack-blaster-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_MOSAIC_MEGA,retail,rbicru7,trusted,"2023-24 Panini Mosaic Basketball Mega, Box (Reactive Blue & Pink Fluorescent Mosaics)",,100.0,1,116.23,,,,,70.0,80.0,,NO_GO,0,https://rbicru7.com/products/2023-24-panini-mosaic-basketball-mega-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_MOSAIC_MEGA,retail,rbicru7,trusted,"2023-24 Panini Mosaic Basketball Target Mega, Box (Reactive Yellow & Green Fluorescent)",,100.0,1,116.23,,,,,70.0,80.0,,,0,https://rbicru7.com/products/2023-24-panini-mosaic-basketball-target-mega-box-reactive-yellow-green-fluorescent,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_MOSAIC_MEGA,retail,bleecker,watch,2023-24 Mosaic Basketball NBA Mega Box,,80.0,0,95.54,,,,,70.0,80.0,,,0,https://bleeckertrading.com/products/2023-24-mosaic-basketball-nba-sealed-mega-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_PRIZM_HANGER,retail,collectorstore,trusted,2023-24 Panini Prizm Basketball Hanger Box (Orange Ice Prizm),,99.99,1,116.22,,,,,25.0,40.0,,NO_GO,0,https://collectorstore.com/products/2023-24-panini-prizm-basketball-hanger-box-orange-ice-prizm,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_PRIZM_HANGER,retail,superior,watch,2023-24 Panini Prizm Basketball Hanger Box,,110.0,1,126.57,,,,,25.0,40.0,,,0,https://superiorsportsinvestments.com/products/2023-24-panini-prizm-basketball-hanger-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_PRIZM_HANGER,retail,bleecker,watch,2023-24 Panini Prizm Basketball Hanger Box (Ice Prizm),,50.0,0,64.51,,,,,25.0,40.0,,,0,https://bleeckertrading.com/products/2023-24-panini-prizm-basketball-sealed-hanger-box-ice-prizm,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_COURT_KINGS_HOBBY,hobby,sportscardjunction,watch,2023-24 Panini Court Kings Basketball Hobby Box,,200.0,0,219.67,,,,,250.0,300.0,,,0,https://sportscardjunction.com/products/2023-24-panini-court-kings-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
